Date,ActivePower,WindSpeed,TheoreticalPower,WindDirection,PowerError,Status,WindSpeed_theta,ActivePower_theta,TheoreticalPower_theta,PowerError_theta,WindSpeed_phi,ActivePower_phi,TheoreticalPower_phi,PowerError_phi,Fuzzy_Label
02 01 2018 20:40,3587.51098632812,12.8114795684814,3595.1357821697,201.348495483398,7.62479584158018,0.0,0.508270811305367,0.9913780275536508,0.9986488283804724,0.0021179988448833,0.3260218158495389,0.0043296512902379,0.0006760425345069,0.995772955186266,0.5
02 01 2018 20:50,3603.11206054687,12.9135398864746,3597.28438052126,201.676895141601,5.82768002560988,0.0,0.5123198581271025,0.9956862832776726,0.9992456612559056,0.0016188000071138,0.3224715586799566,0.002161520454629,0.0003773116824575,0.996767632542236,0.5
02 01 2018 21:00,3591.09301757812,12.7283201217651,3592.26902604332,202.413299560546,1.1760084652000842,0.0,0.50497162019912,0.9923672098637952,0.9978525072342556,0.0003266690181111,0.328928714107834,0.0038310157376693,0.0010749005534534,0.9993468753193756,0.5
02 01 2018 21:10,3221.044921875,11.6635799407958,3459.65697188092,202.661895751953,238.61205000592008,0.5,0.4627301013551855,0.8901779757045073,0.9610158255224778,0.0662811250016444,0.3673062434054283,0.058101419922936,0.0198795817811085,0.8756779550017032,0.5
02 01 2018 21:20,2887.73388671875,11.095230102539,3305.03861196709,204.061203002929,417.3047252483402,1.0,0.4401819146409245,0.798133725740895,0.9180662811019696,0.11591797923565,0.3887134532575025,0.1122643279358596,0.0427168339828996,0.7922464170439332,0.5
02 01 2018 21:30,2364.53491210937,10.1609497070312,2888.1834694536,203.337905883789,523.6485573442301,1.0,0.403116136869268,0.6536516890838245,0.8022731859593334,0.1454579325956194,0.4253987588386955,0.2094445361151376,0.1097096797428179,0.7460265829823881,1.0
02 01 2018 21:40,1935.84704589843,9.20241546630859,2275.21144803516,197.801300048828,339.3644021367302,0.5,0.3650881344366182,0.5352690105883764,0.6320031800097667,0.094267889482425,0.465106867129436,0.3027032957784513,0.2254878081720594,0.8277060116841908,1.0
02 01 2018 21:50,1549.48095703125,8.53928470611572,1852.27385123011,195.506103515625,302.79289419886004,0.5,0.3387796969385809,0.428573542661601,0.5145205142305861,0.0841091372774611,0.4938977671781602,0.3999979281946969,0.3205499570377556,0.8448327121590624,1.0
02 01 2018 22:00,1625.75598144531,8.80914115905761,2021.75423914516,187.484603881835,395.99825769985,0.5,0.3494857326887531,0.4496369839300763,0.5615983997625444,0.1099995160277361,0.4820460502499305,0.379655749798717,0.2807390173453806,0.8018025874076373,1.0
02 01 2018 22:10,1994.22204589843,9.60846042633056,2523.60897951622,188.023895263671,529.3869336177902,1.0,0.3811971872711211,0.5513893382250149,0.7010024943100611,0.1470519260049417,0.4480191665836425,0.2891670393250557,0.1757772294221205,0.7436002282527737,1.0
02 01 2018 22:20,2362.0,9.84492397308349,2691.84853250982,190.660400390625,329.84853250982,0.5,0.3905784236934888,0.6529516700048844,0.74773570347495,0.0916245923638388,0.4382504186192089,0.2099567315202204,0.1443377828944522,0.8321316815235318,1.0
02 01 2018 22:30,2097.77197265625,9.33867073059082,2364.19874342852,196.733596801757,266.4267707722702,0.5,0.3704937999845487,0.5799847771301279,0.656721873174589,0.0740074363256306,0.4593280174069729,0.2658349807855646,0.2072032321077683,0.8621844992455114,1.0
02 01 2018 22:40,1564.59094238281,8.42491626739501,1781.89987727917,197.015899658203,217.30893489635992,0.5,0.3342423490994355,0.4327461835943968,0.4949721881331027,0.0603635930267666,0.4989780539869135,0.3959206612454602,0.3378175299017221,0.8861454817503472,1.0
02 01 2018 22:50,1107.47497558593,7.65623378753662,1339.71394884899,188.690399169921,232.23897326306,0.5,0.303746350133396,0.3065130503574897,0.3721427635691638,0.0645108259064055,0.5340407279340534,0.5307922101909027,0.4575742795142384,0.8787972384377094,1.0
02 01 2018 23:00,1303.11694335937,8.14458179473876,1613.84771310931,181.659606933593,310.73076974994,0.5,0.3231206180696804,0.3605398190081881,0.4482910314192528,0.0863141027083166,0.5115779866825964,0.4700047525679683,0.380937916904795,0.8410881300479762,1.0
02 01 2018 23:10,1561.18200683593,8.54713726043701,1857.14017452757,173.536697387695,295.95816769164,0.5,0.3390912319283037,0.4318048018743473,0.5158722707021027,0.0822106021365666,0.493550216978108,0.3968384498933371,0.3193723763240718,0.8480691244860076,1.0
02 01 2018 23:20,1544.9990234375,8.38180446624755,1755.62759790948,171.383407592773,210.62857447198007,0.5,0.3325319713066969,0.4273358512187418,0.4876743327526333,0.0585079373533278,0.5009020744461207,0.4012119139950731,0.344380255791208,0.8894520573938824,1.0
02 01 2018 23:30,1456.73803710937,7.85044908523559,1445.55353367836,179.819793701171,11.184503431009944,0.0,0.3114514685314477,0.4029624719100939,0.4015426482439889,0.0031068065086138,0.5250278397564976,0.4255548812200631,0.4269990303226421,0.9938056316865652,1.0
